RandomScore,PlanScore,MCScore,,,r,p,m
1.511111111,1.06,3.208333333,,,,,
1.538461538,0,3.216494845,,,,,
1.565217391,0.71,3.224489796,,,,,
1.591397849,0.05,3.232323232,,,,,
1.617021277,2.3,3.24,,,,,
1.642105263,0.01,0.1,,,,,
1.666666667,0,1.64,,,,,
1.690721649,0,0,,,,,
1.714285714,0,0,,,,,
1.737373737,1.36,0.17,,,,,
1.76,0.17,0.8,,,,,
0,0.14,1.04,,,,,
0.11,0.05,0.977777778,,,,,
0.44,1.48,1.043478261,,,,,
1.84,0,1.106382979,,,,,
0.329113924,0.18,1.166666667,,,,,
0.375,0.68,1.224489796,,,,,
0.419753086,0,1.28,,,,,
0.463414634,0.62,1.333333333,,,,,
0.506024096,0.22,1.384615385,,,,,
0.547619048,0.11,1.433962264,,,,,
0.588235294,0.51,1.481481481,,,,,
0.627906977,0.25,1.527272727,,,,,
0.666666667,0.35,1.571428571,,,,,
0.704545455,0.13,1.614035088,,,,,
0.741573034,1.73,1.655172414,,,,,
0.777777778,0.18,1.694915254,,,,,
0.813186813,1.12,1.733333333,,,,,
0.847826087,0.13,1.770491803,,,,,
0.88172043,0.17,1.806451613,,,,,
0.914893617,0,1.841269841,,,,,
0.947368421,0,1.875,,,,,
0.979166667,0.06,1.907692308,,,,,
1.010309278,1.96,1.939393939,,,,,
1.040816327,0,1.970149254,,,,,
1.070707071,0,2,,,,,
1.1,1.04,2.028985507,,,,,
1.434782609,1.16,2.057142857,,,,,
1.471428571,0,2.084507042,,,,,
1.507042254,0.82,2.111111111,,,,,
1.541666667,0,2.136986301,,,,,
1.575342466,1.32,2.162162162,,,,,
1.608108108,0.08,2.186666667,,,,,
1.64,0.04,2.210526316,,,,,
1.671052632,1.37,2.233766234,,,,,
1.701298701,0,2.256410256,,,,,
1.730769231,0.15,2.278481013,,,,,
1.759493671,0.04,2.3,,,,,
1.7875,2.978947368,2.320987654,,,,,
1.814814815,2.989583333,2.341463415,,,,,
1.841463415,3,2.361445783,,,,,
1.86746988,3.010204082,2.380952381,,,,,
1.892857143,3.02020202,2.4,,,,,
1.917647059,3.03,2.418604651,,,,,
1.941860465,0.82,2.436781609,,,,,
1.965517241,1.22,2.454545455,,,,,
1.988636364,0,2.471910112,,,,,
2.011235955,0.915789474,2.488888889,,,,,
2.033333333,0.947916667,2.505494505,,,,,
2.054945055,0.979381443,2.52173913,,,,,
2.076086957,1.010204082,2.537634409,,,,,
2.096774194,1.04040404,2.553191489,,,,,
2.117021277,1.07,2.568421053,,,,,
2.136842105,0,2.583333333,,,,,
2.15625,1.96,2.597938144,,,,,
2.175257732,1.98,2.612244898,,,,,
2.193877551,1.98,2.626262626,,,,,
2.212121212,0,2.64,,,,,
2.23,0.12,0.07,,,,,
0,0,2.25,,,,,
0,0.196078431,0,,,,,
0,0.269230769,0,,,,,
1.55,0.339622642,0.06,,,,,
0.72,0.407407407,0.57,,,,,
0.36,0.472727273,2.176470588,,,,,
0.33,0.535714286,2.211538462,,,,,
1.16,0.596491228,2.245283019,,,,,
0,0.655172414,2.277777778,,,,,
1.727272727,0.711864407,2.309090909,,,,,
1.767857143,0.766666667,2.339285714,,,,,
1.807017544,0.819672131,2.368421053,,,,,
1.844827586,0.870967742,2.396551724,,,,,
1.881355932,0.920634921,2.423728814,,,,,
1.916666667,0.96875,2.45,,,,,
1.950819672,1.015384615,2.475409836,,,,,
1.983870968,1.060606061,2.5,,,,,
2.015873016,1.104477612,2.523809524,,,,,
2.046875,1.147058824,2.546875,,,,,
2.076923077,1.188405797,2.569230769,,,,,
